product name,codes,made to measure,paint to order,cutting & edged,description,quantity,width,depth,price,ex-vat
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-EXTCR90,base unit aluminium external corner connector to rail: 56.5 x 27.5 x 27.5 ,56.5,27.5,27.5,£48.56,£40.47
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-TCAPS,base unit set of aluminium caps for top rail: 56.5 x 27.5 x 2,56.5,27.5,2,£49.64,£41.37
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-TOPINTCR90,base unit aluminium internal corner connector  for top rail: 56.5 x 28.3 x 28.3,56.5,28.3,28.3,£48.56,£40.47
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-TOPRAILCONBKT,base unit connector bracket for top rail profile: 56.5 x 28.5 x 8,56.5,28.5,8,£59.47,£49.56
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-MCAPS,base unit set of aluminium caps for end mid rail:  73 x 27.3 x 2,73,37.3,2,£50.52,£42.10
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-MIDINTCR90,base unit aluminium internal corner connector for mid rail: 73 x 28.3 x 28.3,73,28.3,28.3,£57.74,£48.12
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-APPFILLER440,oven (combi) profile filler: 440 x 18.3 x 9.8,440,18.3,9.8,£35.94,£29.95
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-APPFILLER580,oven profile filler: 580 x 18.3 x 9.8,580,18.3,9.8,£33.05,£27.54
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-WALLRAIL,wall unit profile: 3900 x 19.6 x 20.8,3900,19.6,20.8,£52.50,£43.75
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-MIDRAIL4.1,base unit mid rail profile: 4100 x 73 x 26,4100,73,26,£89.02,£74.18
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-TOPRAIL4.1,base unit top rail profile: 4100 x 56.5 x 27.2,4100,56.5,27.2,£72.77,£60.64
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-VERTICALSINGLE,larder / appliance unit single vertical profile: 4200 x 53.3 x 41,4200,53.3,41,£96.67,£80.56
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-MCAPS,base unit set of aluminium caps for end mid rail:  73 x 27.3 x 2,27.3,2,73,£35.42,£29.52
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-FIXINGBKT,fixing bracket set (includes 2 support fittings and clips): 40 x 17 x3,40,17,3,£1.66,£1.38
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-EXTCR90,base unit aluminium external corner connector to rail: 56.5 x 27.5 x 27.5,56.5,27.5,27.5,£33.49,£27.91
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-TCAPS,base unit set of aluminium caps for top rail: 56.5 x 27.5 x 2,56.5,27.5,2,£34.79,£28.99
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-TOPINTCR90,base unit aluminium internal corner connector  for top rail: 56.5 x 28.3 x 28.3,56.5,28.3,28.3,£33.49,£27.91
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-TOPRAILCONBKT,base unit connector bracket for top rail profile: 56.5 x 28.5 x 8,56.5,28.5,8,£41.00,£34.17
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-MIDINTCR90,base unit aluminium internal corner connector for mid rail: 73 x 28.3 x 28.3,73,28.3,28.3,£39.83,£33.19
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-APPFILLER440,oven (combi) profile filler: 440 x 18.3 x 9.8,440,18.3,9.8,£25.67,£21.39
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-APPFILLER580,oven profile filler: 580 x 18.3 x 9.8,580,18.3,9.8,£23.60,£19.67
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-APPFRAME657,dishwasher frame: 657 x 490 x 30,590,30,657,£138.47,£115.39
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-2.4VERTSINGLE,larder/appliance single vertical profile: 2400 x 53.3 x 41,2400,53.3,41,£53.54,£44.62
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-2.4VERTTWIN,larder/appliance double vertical profile: 2400 x 71.6 x 41,2400,71.6,41,£59.23,£49.36
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-WALLRAIL,wall unit profile: 3900 x 19.6 x 20.8,3900,20.8,19.6,£36.20,£30.17
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-MIDRAIL4.1,base unit mid rail profile: 4100 x 73 x 26,4100,26,73,£62.40,£52.00
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-TOPRAIL4.1,base unit top rail profile: 4100 x 56.5 x 27.2,4100,27.2,56.5,£51.00,£42.50
Handles,Gola,GOLA,Gola - Gola Aluminium,GOLA-VERTICALSINGLE,larder / appliance unit single vertical profile: 2400 x 53.3 x 41,4200,53.3,41,£44.39,£36.99
Handles,Gola,GOBR,Gola - Gola Brass,GOBR-MCAPS,mid rail: set of brass caps: 73 x 27.3 x 2,27.3,2,73,£35.41,£29.51
Handles,Gola,GOBR,Gola - Gola Brass,GOBR-EXTCR90,top rail: brass external corner connector: 73 x 28.3 x 2,56.5,27.5,27.5,£33.49,£27.91
Handles,Gola,GOBR,Gola - Gola Brass,GOBR-TCAPS,top rail: set of brass caps: 56.5 x 27.5 x 2,56.5,27.5,2,£34.79,£28.99
Handles,Gola,GOBR,Gola - Gola Brass,GOBR-TOPINTCR90,top rail: brass internal corner connector: 56.5 x 28.3 x 28.3,56.5,28.3,28.3,£33.49,£27.91
Handles,Gola,GOBR,Gola - Gola Brass,GOBR-TOPRAILCONBKT,top rail: connector bracket for profile: 56.5 x 28.5 x 8,56.5,28.5,8,£41.00,£34.17
Handles,Gola,GOBR,Gola - Gola Brass,GOBR-MIDEXTCR90,mid rail: brass external corner connector: 73 x 27.5 x 27.5,73,27.5,27.5,£44.35,£36.96
Handles,Gola,GOBR,Gola - Gola Brass,GOBR-MIDINTCR90,mid rail: brass internal corner connector: 73 x 28.3 x 28.3,73,28.3,28.3,£39.83,£33.19
